,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bylevel,param_colsample_bytree,param_gamma,param_learning_rate,param_max_delta_step,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_scale_pos_weight,param_subsample,params
0,0.5530537839883556,0.48922417239829713,0.455406929200387,0.5468457003271476,0.511131823653999,0.040676085493091284,72,19.03393018245697,2.016838244700181,0.056031763553619385,0.004492503965344595,0.4160029192647807,0.7304484857455519,0.13031389926541354,0.042815319280763466,13,21,5,383,5.497557739289786e-07,0.05936070635912049,0.060830282487222144,0.13556548021189216,"OrderedDict([('colsample_bylevel', 0.4160029192647807), ('colsample_bytree', 0.7304484857455519), ('gamma', 0.13031389926541354), ('learning_rate', 0.042815319280763466), ('max_delta_step', 13), ('max_depth', 21), ('min_child_weight', 5), ('n_estimators', 383), ('reg_alpha', 5.497557739289786e-07), ('reg_lambda', 0.05936070635912049), ('scale_pos_weight', 0.060830282487222144), ('subsample', 0.13556548021189216)])"
1,0.532421684670239,0.41567269377961374,0.3766229059819378,0.524842057056062,0.4623883964801427,0.06771864694053696,83,12.271020412445068,0.5193254547749169,0.031113147735595703,0.003225091261230132,0.8390144719977516,0.8844821246070537,4.358684608480795e-07,0.7988179462781242,17,3,2,209,0.0005266983003701547,276.5424475574225,0.3016410771843142,0.9923710598637134,"OrderedDict([('colsample_bylevel', 0.8390144719977516), ('colsample_bytree', 0.8844821246070537), ('gamma', 4.358684608480795e-07), ('learning_rate', 0.7988179462781242), ('max_delta_step', 17), ('max_depth', 3), ('min_child_weight', 2), ('n_estimators', 209), ('reg_alpha', 0.0005266983003701547), ('reg_lambda', 276.5424475574225), ('scale_pos_weight', 0.3016410771843142), ('subsample', 0.9923710598637134)])"
2,0.5410664878783897,0.4516479281788398,0.4160894462862014,0.5356942902296651,0.4861233960620334,0.05378050062218221,79,74.13520967960358,4.215623948372942,0.17799317836761475,0.01934616599723133,0.4503841871781403,0.9195352964526833,8.168958221061441e-09,0.07356404539935663,4,23,2,388,0.00010376808625045426,476.96194787286544,1.3165669602830552,0.387658500562527,"OrderedDict([('colsample_bylevel', 0.4503841871781403), ('colsample_bytree', 0.9195352964526833), ('gamma', 8.168958221061441e-09), ('learning_rate', 0.07356404539935663), ('max_delta_step', 4), ('max_depth', 23), ('min_child_weight', 2), ('n_estimators', 388), ('reg_alpha', 0.00010376808625045426), ('reg_lambda', 476.96194787286544), ('scale_pos_weight', 1.3165669602830552), ('subsample', 0.387658500562527)])"
3,0.5359399998406219,0.5227632138231744,0.5816147072331797,0.5395124823950026,0.5449577262778809,0.022064353830819138,56,9.500667870044708,0.9825100148349587,0.03786826133728027,0.005644194806166343,0.8142720284737898,0.1801528457825951,0.00015936523535755285,0.4032083917998946,10,5,11,443,0.1611980387486336,4.3806965488564525e-05,0.0009365503147654213,0.8391548832503206,"OrderedDict([('colsample_bylevel', 0.8142720284737898), ('colsample_bytree', 0.1801528457825951), ('gamma', 0.00015936523535755285), ('learning_rate', 0.4032083917998946), ('max_delta_step', 10), ('max_depth', 5), ('min_child_weight', 11), ('n_estimators', 443), ('reg_alpha', 0.1611980387486336), ('reg_lambda', 4.3806965488564525e-05), ('scale_pos_weight', 0.0009365503147654213), ('subsample', 0.8391548832503206)])"
4,0.49535050418828735,0.38920007289288905,0.370640595703929,0.5212163098063702,0.44410009394028743,0.06516070275304393,85,43.895741403102875,1.6138588554908293,0.08159852027893066,0.017399297178499893,0.8015579071911014,0.44364889457651413,3.811128976537413e-05,0.2700390206185342,18,36,6,343,1.5057560255472018e-06,0.08186810622382998,0.029004593634154585,0.8835665823899177,"OrderedDict([('colsample_bylevel', 0.8015579071911014), ('colsample_bytree', 0.44364889457651413), ('gamma', 3.811128976537413e-05), ('learning_rate', 0.2700390206185342), ('max_delta_step', 18), ('max_depth', 36), ('min_child_weight', 6), ('n_estimators', 343), ('reg_alpha', 1.5057560255472018e-06), ('reg_lambda', 0.08186810622382998), ('scale_pos_weight', 0.029004593634154585), ('subsample', 0.8835665823899177)])"
5,0.5250813477600326,0.40426058781281005,0.3796986345781163,0.5466463888583897,0.4639198337861803,0.07286410006952844,82,59.34113985300064,0.5772973813112945,0.0863221287727356,0.004061812181724954,0.7366877378057127,0.9399760402267441,2.6498051478267012e-08,0.0238149998729586,16,19,7,291,0.011683028450342707,0.0048879464985534336,0.13267482411031659,0.5689543694097536,"OrderedDict([('colsample_bylevel', 0.7366877378057127), ('colsample_bytree', 0.9399760402267441), ('gamma', 2.6498051478267012e-08), ('learning_rate', 0.0238149998729586), ('max_delta_step', 16), ('max_depth', 19), ('min_child_weight', 7), ('n_estimators', 291), ('reg_alpha', 0.011683028450342707), ('reg_lambda', 0.0048879464985534336), ('scale_pos_weight', 0.13267482411031659), ('subsample', 0.5689543694097536)])"
6,0.4812275881112965,0.40271161496407104,0.37700438110795415,0.47003531815883237,0.43274386641468454,0.04401761122797265,87,48.16085124015808,0.8515588117667274,0.08387017250061035,0.009548762513842894,0.6209085649172932,0.7776107350396038,1.3277909848852635e-06,0.5605967693796124,12,30,10,240,0.004026635957416632,0.040887904512512056,109.72255122430063,0.6612742297240571,"OrderedDict([('colsample_bylevel', 0.6209085649172932), ('colsample_bytree', 0.7776107350396038), ('gamma', 1.3277909848852635e-06), ('learning_rate', 0.5605967693796124), ('max_delta_step', 12), ('max_depth', 30), ('min_child_weight', 10), ('n_estimators', 240), ('reg_alpha', 0.004026635957416632), ('reg_lambda', 0.040887904512512056), ('scale_pos_weight', 109.72255122430063), ('subsample', 0.6612742297240571)])"
7,0.44380705546215937,0.4193161920560317,0.4193161920560317,0.41935483870967744,0.42544870996981526,0.010599370256800883,88,1.7593849301338196,0.1509518571759964,0.020742356777191162,0.005366855976988577,0.5479690370134094,0.9208091341729433,2.083286323303108e-05,0.4734922490673386,6,3,9,62,2.9618722230360503e-06,8.153638964242,0.0015718563651880596,0.577028860872224,"OrderedDict([('colsample_bylevel', 0.5479690370134094), ('colsample_bytree', 0.9208091341729433), ('gamma', 2.083286323303108e-05), ('learning_rate', 0.4734922490673386), ('max_delta_step', 6), ('max_depth', 3), ('min_child_weight', 9), ('n_estimators', 62), ('reg_alpha', 2.9618722230360503e-06), ('reg_lambda', 8.153638964242), ('scale_pos_weight', 0.0015718563651880596), ('subsample', 0.577028860872224)])"
8,0.5061196226452224,0.4154538948015604,0.38100688797780424,0.4940298518555553,0.4491515303526247,0.0525326539414711,84,36.68581557273865,0.6122590694134137,0.0678408145904541,0.012590971564525747,0.955923206446829,0.7036152301751524,0.03823613443879595,0.06786442521779147,8,11,0,217,0.00022356829889037284,1.2908532337409298e-07,4.73588486119117,0.4499578015509351,"OrderedDict([('colsample_bylevel', 0.955923206446829), ('colsample_bytree', 0.7036152301751524), ('gamma', 0.03823613443879595), ('learning_rate', 0.06786442521779147), ('max_delta_step', 8), ('max_depth', 11), ('min_child_weight', 0), ('n_estimators', 217), ('reg_alpha', 0.00022356829889037284), ('reg_lambda', 1.2908532337409298e-07), ('scale_pos_weight', 4.73588486119117), ('subsample', 0.4499578015509351)])"
9,0.5500381713792118,0.5325075133580293,0.5645770421917218,0.5372069930391624,0.5460826344810518,0.012457501306368982,55,3.157301425933838,0.26586028810180967,0.03517264127731323,0.005337046938646331,0.013594004182195795,0.819651719467114,0.002807995180059625,0.03229300915669146,12,14,5,119,0.11080071157037095,5.745523087821567,3.573713830065675,0.029649078936835577,"OrderedDict([('colsample_bylevel', 0.013594004182195795), ('colsample_bytree', 0.819651719467114), ('gamma', 0.002807995180059625), ('learning_rate', 0.03229300915669146), ('max_delta_step', 12), ('max_depth', 14), ('min_child_weight', 5), ('n_estimators', 119), ('reg_alpha', 0.11080071157037095), ('reg_lambda', 5.745523087821567), ('scale_pos_weight', 3.573713830065675), ('subsample', 0.029649078936835577)])"
